Volume;env;quartier;dc;zone;type;Application;Cap;Use;Use%
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-F220;10.0;9.95;99.5
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;groupe-R-ADSMCSSLCVS;40.0;34.27;85.68
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-GDCN-MAD;200.0;99.3;49.65
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DR67;25.0;8.79;35.16
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Credit-bail;25.0;0.63;2.52
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;ERFS-MADPUBLI;50.0;31.23;62.46
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Mobilite-preprod;60.0;19.12;31.87
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR44-Club-carto;25.0;1.55;6.2
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Pole-Diffusion;50.0;26.71;53.42
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;ZFU;20.0;16.01;80.05
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-E260;60.0;53.97;89.95
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;TCML-PROD;10.0;5.37;53.7
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR974-SES-REFONTE-TOURISME;5.0;4.63;92.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR25-SED;20.0;6.9;34.5
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR20-Tourisme;5.0;0.0;0.01
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PRECISION-LC;15.0;12.62;84.13
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR31-SES31;50.0;27.03;54.06
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PDT-DR31;25.0;13.95;55.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;MULTISOURCES;25.0;6.16;24.64
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR86-SAR;10.0;0.19;1.87
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SOURCES-LIFI;900.0;163.5;18.17
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;STS;50.0;12.61;25.22
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;VendRedis;5.0;2.74;54.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR31-SES34;10.0;7.06;70.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR59-SED59;15.0;0.0;0.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DIVISION-GRANDS-COMPTES;25.0;2.25;9.0
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR33-SED;20.0;5.96;29.8
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CECI;10.0;2.86;28.6
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;Productivite;15.0;12.16;81.07
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;CI44-SD;10.0;4.85;48.5
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;LOYERS-PREPROD;25.0;5.69;22.76
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;VQS-PREPROD;25.0;11.19;44.76
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;PCS2020-ISCO-PRODUCTION;25.0;24.56;98.24
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;SSP;15.0;11.73;78.2
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DG75-G410-SFP;50.0;40.09;80.18
vol_pd_aus_ECH;pd;ECH;d1;Int;aus;DR59-SES59;10.0;1.35;13.5
