Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_data"">hp_as_cj_d2_50</a>";vol_hp_as_cj_d2_50_data;395GB;47.49GB
"<a href=""index.php?vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_logs"">hp_as_cj_d2_50</a>";vol_hp_as_cj_d2_50_logs;54GB;1.35GB
"<a href=""index.php?vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_data"">hp_as_cn_d2_50</a>";vol_hp_as_cn_d2_50_data;500GB;15.08GB
"<a href=""index.php?vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_logs"">hp_as_cn_d2_50</a>";vol_hp_as_cn_d2_50_logs;54GB;267.8MB
"<a href=""index.php?vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_data"">hp_as_df_d2_50</a>";vol_hp_as_df_d2_50_data;2.50TB;614.2GB
"<a href=""index.php?vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_logs"">hp_as_df_d2_50</a>";vol_hp_as_df_d2_50_logs;55GB;11.64GB
"<a href=""index.php?vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_data"">hp_as_en_d2_50</a>";vol_hp_as_en_d2_50_data;556GB;308.0GB
"<a href=""index.php?vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_logs"">hp_as_en_d2_50</a>";vol_hp_as_en_d2_50_logs;53GB;15.96GB
"<a href=""index.php?vserver=hp_as_ep_d2_50&amp;volume=vol_hp_as_ep_d2_50_data"">hp_as_ep_d2_50</a>";vol_hp_as_ep_d2_50_data;1000GB;334.2GB
"<a href=""index.php?vserver=hp_as_ep_d2_50&amp;volume=vol_hp_as_ep_d2_50_logs"">hp_as_ep_d2_50</a>";vol_hp_as_ep_d2_50_logs;54GB;2.71GB
"<a href=""index.php?vserver=hp_as_et_d2_50&amp;volume=vol_hp_as_et_d2_50_data"">hp_as_et_d2_50</a>";vol_hp_as_et_d2_50_data;50GB;167.3MB
"<a href=""index.php?vserver=hp_as_et_d2_50&amp;volume=vol_hp_as_et_d2_50_logs"">hp_as_et_d2_50</a>";vol_hp_as_et_d2_50_logs;50GB;8.10MB
"<a href=""index.php?vserver=hp_as_ge_d2_50&amp;volume=vol_hp_as_ge_d2_50_data"">hp_as_ge_d2_50</a>";vol_hp_as_ge_d2_50_data;220GB;108.8GB
"<a href=""index.php?vserver=hp_as_ge_d2_50&amp;volume=vol_hp_as_ge_d2_50_logs"">hp_as_ge_d2_50</a>";vol_hp_as_ge_d2_50_logs;54GB;433.6MB
"<a href=""index.php?vserver=hp_as_if_d2_50&amp;volume=test"">hp_as_if_d2_50</a>";test;1GB;1.07MB
"<a href=""index.php?vserver=hp_as_if_d2_50&amp;volume=vol_hp_as_if_d2_50_data"">hp_as_if_d2_50</a>";vol_hp_as_if_d2_50_data;90GB;19.72MB
"<a href=""index.php?vserver=hp_as_if_d2_50&amp;volume=vol_hp_as_if_d2_50_logs"">hp_as_if_d2_50</a>";vol_hp_as_if_d2_50_logs;18GB;8.62MB
"<a href=""index.php?vserver=hp_as_mn_d2_50&amp;volume=vol_hp_as_mn_d2_50_data"">hp_as_mn_d2_50</a>";vol_hp_as_mn_d2_50_data;5.50TB;1.94TB
"<a href=""index.php?vserver=hp_as_mn_d2_50&amp;volume=vol_hp_as_mn_d2_50_logs"">hp_as_mn_d2_50</a>";vol_hp_as_mn_d2_50_logs;54GB;2.06GB
"<a href=""index.php?vserver=hp_as_pl_d2_50&amp;volume=vol_hp_as_pl_d2_50_data"">hp_as_pl_d2_50</a>";vol_hp_as_pl_d2_50_data;200GB;13.04GB
"<a href=""index.php?vserver=hp_as_pl_d2_50&amp;volume=vol_hp_as_pl_d2_50_logs"">hp_as_pl_d2_50</a>";vol_hp_as_pl_d2_50_logs;108GB;2.49GB
