URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=pd_as_pl_d1_50&amp;volume=vol_pd_as_pl_d1_50_data";vol_pd_as_pl_d1_50_data;pd;PL;d1;Int;data;325.0;197.5;60.77
"vserver=pd_as_pl_d1_50&amp;volume=vol_pd_as_pl_d1_50_logs";vol_pd_as_pl_d1_50_logs;pd;PL;d1;Int;logs;54.0;29.93;55.43
"vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_data";vol_pd_as_px_d1_00_data;pd;PX;d1;Dmz;data;200.0;16.5;8.25
"vserver=pd_as_px_d1_00&amp;volume=vol_pd_as_px_d1_00_logs";vol_pd_as_px_d1_00_logs;pd;PX;d1;Dmz;logs;60.0;0.7014;1.17
"vserver=pd_as_px_d1_50&amp;volume=vol_pd_as_px_d1_50_data";vol_pd_as_px_d1_50_data;pd;PX;d1;Int;data;1460.0;603.1;41.31
"vserver=pd_as_px_d1_50&amp;volume=vol_pd_as_px_d1_50_logs";vol_pd_as_px_d1_50_logs;pd;PX;d1;Int;logs;18.0;0.5539;3.08
"vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_data";vol_pd_as_px_d2_00_data;pd;PX;d2;Dmz;data;10.0;0.0027;0.03
"vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_logs";vol_pd_as_px_d2_00_logs;pd;PX;d2;Dmz;logs;5.0;0.07046;1.41
"vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_data";vol_pd_as_px_d2_50_data;pd;PX;d2;Int;data;10.0;0.01903;0.19
"vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_logs";vol_pd_as_px_d2_50_logs;pd;PX;d2;Int;logs;5.0;0.01936;0.39
"vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_data";vol_pd_as_re_d1_00_data;pd;RE;d1;Dmz;data;5860.0;1230.0;20.99
"vserver=pd_as_re_d1_00&amp;volume=vol_pd_as_re_d1_00_logs";vol_pd_as_re_d1_00_logs;pd;RE;d1;Dmz;logs;1000.0;392.3;39.23
"vserver=pd_as_re_d1_50&amp;volume=vol_pd_as_re_d1_50_data";vol_pd_as_re_d1_50_data;pd;RE;d1;Int;data;100.0;43.82;43.82
"vserver=pd_as_re_d1_50&amp;volume=vol_pd_as_re_d1_50_logs";vol_pd_as_re_d1_50_logs;pd;RE;d1;Int;logs;35.0;1.13;3.23
"vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_data";vol_pd_as_re_d2_00_data;pd;RE;d2;Dmz;data;18.0;0.1184;0.66
"vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_logs";vol_pd_as_re_d2_00_logs;pd;RE;d2;Dmz;logs;18.0;0.05553;0.31
