URL_light;Volume;Capacite;Utilise
"vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_data";vol_hp_as_ut_d2_50_data;305GB;21.21GB
"vserver=hp_as_ut_d2_50&amp;volume=vol_hp_as_ut_d2_50_logs";vol_hp_as_ut_d2_50_logs;108GB;549.2MB
"vserver=hp_test_d2_50&amp;volume=vol_hp_test_d2_50_logs";vol_hp_test_d2_50_logs;65GB;22.18MB
"vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_data";vol_pd_as_an_d2_50_data;100GB;27.77MB
"vserver=pd_as_an_d2_50&amp;volume=vol_pd_as_an_d2_50_logs";vol_pd_as_an_d2_50_logs;20GB;12.24MB
"vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_data";vol_pd_as_ap_d2_50_data;1.17TB;232.8GB
"vserver=pd_as_ap_d2_50&amp;volume=vol_pd_as_ap_d2_50_logs";vol_pd_as_ap_d2_50_logs;32GB;7.04MB
"vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_data";vol_pd_as_cj_d2_50_data;10GB;2.78GB
"vserver=pd_as_cj_d2_50&amp;volume=vol_pd_as_cj_d2_50_logs";vol_pd_as_cj_d2_50_logs;5GB;427.2MB
"vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_data";vol_pd_as_cn_d2_50_data;10GB;9.12MB
"vserver=pd_as_cn_d2_50&amp;volume=vol_pd_as_cn_d2_50_logs";vol_pd_as_cn_d2_50_logs;5GB;10.91MB
"vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_data";vol_pd_as_df_d2_50_data;700GB;1.81GB
"vserver=pd_as_df_d2_50&amp;volume=vol_pd_as_df_d2_50_logs";vol_pd_as_df_d2_50_logs;5GB;12.16MB
"vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_data";vol_pd_as_en_d2_50_data;200GB;67.11GB
"vserver=pd_as_en_d2_50&amp;volume=vol_pd_as_en_d2_50_logs";vol_pd_as_en_d2_50_logs;10GB;110.9MB
"vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_data";vol_pd_as_ep_d2_50_data;10GB;8.12MB
"vserver=pd_as_ep_d2_50&amp;volume=vol_pd_as_ep_d2_50_logs";vol_pd_as_ep_d2_50_logs;5GB;1.63MB
"vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_data";vol_pd_as_ge_d2_50_data;10GB;3.55MB
"vserver=pd_as_ge_d2_50&amp;volume=vol_pd_as_ge_d2_50_logs";vol_pd_as_ge_d2_50_logs;5GB;61.59MB
"vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_data";vol_pd_as_if_d2_50_data;100GB;17.38MB
"vserver=pd_as_if_d2_50&amp;volume=vol_pd_as_if_d2_50_logs";vol_pd_as_if_d2_50_logs;20GB;6.74MB
"vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_data";vol_pd_as_mn_d2_50_data;10GB;649.0MB
"vserver=pd_as_mn_d2_50&amp;volume=vol_pd_as_mn_d2_50_logs";vol_pd_as_mn_d2_50_logs;7.80GB;4.15GB
"vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_data";vol_pd_as_px_d2_50_data;10GB;19.03MB
"vserver=pd_as_px_d2_50&amp;volume=vol_pd_as_px_d2_50_logs";vol_pd_as_px_d2_50_logs;5GB;19.36MB
"vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_data";vol_pd_as_re_d2_50_data;18GB;6.62GB
"vserver=pd_as_re_d2_50&amp;volume=vol_pd_as_re_d2_50_logs";vol_pd_as_re_d2_50_logs;18GB;3.37GB
"vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_data";vol_pd_as_rh_d2_50_data;10GB;5.72MB
"vserver=pd_as_rh_d2_50&amp;volume=vol_pd_as_rh_d2_50_logs";vol_pd_as_rh_d2_50_logs;5GB;3.29MB
"vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_data";vol_pd_as_ri_d2_50_data;50GB;8.32MB
"vserver=pd_as_ri_d2_50&amp;volume=vol_pd_as_ri_d2_50_logs";vol_pd_as_ri_d2_50_logs;10GB;3.96MB
"vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_data";vol_pd_as_rp_d2_50_data;10GB;1.14GB
"vserver=pd_as_rp_d2_50&amp;volume=vol_pd_as_rp_d2_50_logs";vol_pd_as_rp_d2_50_logs;5GB;32.16MB
"vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_data";vol_pd_as_st_d2_50_data;50GB;8.05MB
"vserver=pd_as_st_d2_50&amp;volume=vol_pd_as_st_d2_50_logs";vol_pd_as_st_d2_50_logs;10GB;7.98MB
"vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_data";vol_pd_as_ut_d2_50_data;50GB;8.53MB
"vserver=pd_as_ut_d2_50&amp;volume=vol_pd_as_ut_d2_50_logs";vol_pd_as_ut_d2_50_logs;10GB;2.73MB
"vserver=pd_dpt_if_d2_50&amp;volume=vol_pd_dpt_if_d2_50_data";vol_pd_dpt_if_d2_50_data;3.20TB;1.77TB
"vserver=pd_pdc_ut_d2_50&amp;volume=vol_pd_pdc_ut_d2_50_data";vol_pd_pdc_ut_d2_50_data;50GB;13.87GB
"vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_data";vol_pp_as_an_d2_50_data;50GB;11.66MB
"vserver=pp_as_an_d2_50&amp;volume=vol_pp_as_an_d2_50_logs";vol_pp_as_an_d2_50_logs;10GB;4.85MB
"vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_data";vol_pp_as_ap_d2_50_data;40GB;3.54GB
"vserver=pp_as_ap_d2_50&amp;volume=vol_pp_as_ap_d2_50_logs";vol_pp_as_ap_d2_50_logs;40GB;3.47GB
"vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_data";vol_pp_as_cj_d2_50_data;54GB;6.30GB
"vserver=pp_as_cj_d2_50&amp;volume=vol_pp_as_cj_d2_50_logs";vol_pp_as_cj_d2_50_logs;18GB;85.29MB
"vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_data";vol_pp_as_cn_d2_50_data;306GB;940.8MB
"vserver=pp_as_cn_d2_50&amp;volume=vol_pp_as_cn_d2_50_logs";vol_pp_as_cn_d2_50_logs;18GB;23.89MB
"vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_data";vol_pp_as_df_d2_50_data;30GB;12.62GB
"vserver=pp_as_df_d2_50&amp;volume=vol_pp_as_df_d2_50_logs";vol_pp_as_df_d2_50_logs;18GB;19.19MB
"vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_data";vol_pp_as_en_d2_50_data;198GB;90.26GB
"vserver=pp_as_en_d2_50&amp;volume=vol_pp_as_en_d2_50_logs";vol_pp_as_en_d2_50_logs;108GB;296.8MB
"vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_data";vol_pp_as_ep_d2_50_data;700GB;201.2MB
"vserver=pp_as_ep_d2_50&amp;volume=vol_pp_as_ep_d2_50_logs";vol_pp_as_ep_d2_50_logs;36GB;255.5MB
"vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_data";vol_pp_as_ge_d2_50_data;54GB;24.08GB
"vserver=pp_as_ge_d2_50&amp;volume=vol_pp_as_ge_d2_50_logs";vol_pp_as_ge_d2_50_logs;18GB;965.3MB
"vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_data";vol_pp_as_mn_d2_50_data;341GB;763.9MB
"vserver=pp_as_mn_d2_50&amp;volume=vol_pp_as_mn_d2_50_logs";vol_pp_as_mn_d2_50_logs;18GB;35.66MB
"vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_data";vol_pp_as_pl_d2_50_data;200GB;555.7MB
"vserver=pp_as_pl_d2_50&amp;volume=vol_pp_as_pl_d2_50_logs";vol_pp_as_pl_d2_50_logs;18GB;3.63GB
"vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_data";vol_pp_as_px_d2_50_data;18GB;11.29MB
"vserver=pp_as_px_d2_50&amp;volume=vol_pp_as_px_d2_50_logs";vol_pp_as_px_d2_50_logs;18GB;16.36MB
"vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_data";vol_pp_as_re_d2_50_data;54GB;53.95MB
"vserver=pp_as_re_d2_50&amp;volume=vol_pp_as_re_d2_50_logs";vol_pp_as_re_d2_50_logs;18GB;13.88MB
"vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_data";vol_pp_as_rh_d2_50_data;18GB;5.50MB
"vserver=pp_as_rh_d2_50&amp;volume=vol_pp_as_rh_d2_50_logs";vol_pp_as_rh_d2_50_logs;18GB;11.83MB
"vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_data";vol_pp_as_ri_d2_50_data;1000GB;459.0GB
"vserver=pp_as_ri_d2_50&amp;volume=vol_pp_as_ri_d2_50_logs";vol_pp_as_ri_d2_50_logs;18GB;32.96MB
"vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_data";vol_pp_as_rp_d2_50_data;126GB;9.95GB
"vserver=pp_as_rp_d2_50&amp;volume=vol_pp_as_rp_d2_50_logs";vol_pp_as_rp_d2_50_logs;18GB;341.4MB
"vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_data";vol_pp_as_st_d2_50_data;110GB;20.08GB
"vserver=pp_as_st_d2_50&amp;volume=vol_pp_as_st_d2_50_logs";vol_pp_as_st_d2_50_logs;36GB;204.4MB
"vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_data";vol_pp_as_ut_d2_50_data;90GB;51.20MB
"vserver=pp_as_ut_d2_50&amp;volume=vol_pp_as_ut_d2_50_logs";vol_pp_as_ut_d2_50_logs;18GB;21.31MB
"vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_data";vol_pd_as_an_d2_00_data;100GB;132.5MB
"vserver=pd_as_an_d2_00&amp;volume=vol_pd_as_an_d2_00_logs";vol_pd_as_an_d2_00_logs;20GB;3.63MB
"vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_data";vol_pd_as_ap_d2_00_data;10GB;528.1MB
"vserver=pd_as_ap_d2_00&amp;volume=vol_pd_as_ap_d2_00_logs";vol_pd_as_ap_d2_00_logs;5GB;567.5MB
"vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_data";vol_pd_as_if_d2_00_data;800GB;399.6GB
"vserver=pd_as_if_d2_00&amp;volume=vol_pd_as_if_d2_00_logs";vol_pd_as_if_d2_00_logs;20GB;3.98MB
"vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_data";vol_pd_as_px_d2_00_data;10GB;2.70MB
"vserver=pd_as_px_d2_00&amp;volume=vol_pd_as_px_d2_00_logs";vol_pd_as_px_d2_00_logs;5GB;70.46MB
"vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_data";vol_pd_as_re_d2_00_data;18GB;118.4MB
"vserver=pd_as_re_d2_00&amp;volume=vol_pd_as_re_d2_00_logs";vol_pd_as_re_d2_00_logs;18GB;55.53MB
