Volume;env;quartier;dc;zone;type;CapFS;SomCapVV;UseCapFS%;UseFS;SomUseVV;diff_UseFS-SomUseVV
vol_pp_as_rh_d2_00_data;pp;RH;d2;Dmz;data;251.0;1.0;-99.6;0.075059;0.0;0.08
vol_pp_as_rh_d2_00_logs;pp;RH;d2;Dmz;logs;18.0;1.0;-94.44;0.027012;0.0;0.03
vol_pp_as_ri_d2_00_data;pp;RI;d2;Dmz;data;1536.0;1206.0;-21.48;203.0;206.28;-3.28
vol_pp_as_ri_d2_00_logs;pp;RI;d2;Dmz;logs;53.0;32.0;-39.62;3.63;3.56;0.07
vol_pp_as_rp_d2_00_data;pp;RP;d2;Dmz;data;18.0;2.0;-88.89;0.766797;0.75;0.02
vol_pp_as_rp_d2_00_logs;pp;RP;d2;Dmz;logs;36.0;21.0;-41.67;12.73;12.69;0.04
vol_pp_as_st_d2_00_data;pp;ST;d2;Dmz;data;395.0;279.0;-29.37;30.53;53.28;-22.75
vol_pp_as_st_d2_00_logs;pp;ST;d2;Dmz;logs;54.0;25.0;-53.7;0.999023;0.93;0.07
vol_pp_as_tt_d2_00_data;pp;TT;d2;Dmz;data;50.0;2.0;-96.0;0.00623;0.0;0.01
vol_pp_as_tt_d2_00_logs;pp;TT;d2;Dmz;logs;50.0;1.0;-98.0;0.006641;0.0;0.01
